Financial Goal,Risk Tolerance,Investment Horizon
59599,High,Short
95465,Low,Long
18484,Low,Medium
65618,Low,Long
30190,Low,Medium
96543,Medium,Short
46543,Medium,Short
10452,High,Medium
18124,Low,Medium
35197,Low,Medium
31838,High,Medium
90286,Low,Medium
15814,Low,Long
84689,High,Medium
12803,Low,Medium
39516,High,Medium
76103,High,Medium
56871,Low,Long
78670,Medium,Medium
16062,High,Short
37322,Low,Short
98293,Low,Long
38640,Medium,Short
30190,Low,Medium
60710,High,Short
53057,High,Short
30327,High,Short
38183,Low,Long
44414,Low,Short
78496,Low,Short
94749,High,Short
97207,Low,Long
35401,Medium,Short
67460,Medium,Long
57892,Low,Medium
69425,Low,Short
66280,Low,Short
78291,High,Medium
56989,Medium,Long
24662,High,Short
14970,Low,Short
46479,High,Medium
80178,Medium,Short
38054,High,Long
18484,Medium,Medium
33519,Low,Medium
40163,Low,Short
46543,Medium,Long
79588,High,Long
10824,High,Short
11649,Low,Long
34164,Low,Medium
39882,Medium,Short
56415,High,Short
71055,Medium,Short
80831,Low,Long
11333,Low,Medium
95201,High,Long
47122,High,Medium
17809,High,Medium
43957,Low,Long
37603,Medium,Short
49080,High,Medium
83490,Medium,Medium
42290,Medium,Medium
19675,Medium,Medium
35859,High,Long
60330,Medium,Long
72019,Medium,Long
75062,Low,Short
25367,High,Short
31626,Medium,Short
71910,High,Long
88616,Low,Short
23965,High,Short
59884,High,Long
14760,Medium,Short
20246,High,Medium
64516,High,Medium
97676,Low,Medium
31364,Medium,Short
30138,High,Short
26071,High,Medium
15407,Medium,Short
73370,High,Medium
95329,High,Long
81648,High,Long
79404,Low,Short
38183,Low,Short
81231,High,Short
79731,High,Long
58906,Low,Short
24662,High,Long
78670,Low,Short
65361,Low,Medium
74417,High,Medium
83261,Low,Medium
58895,Medium,Long
46865,Low,Medium
30482,Low,Long
38323,High,Medium
88335,Low,Medium
68008,Medium,Short
57450,Low,Medium
25367,Medium,Short
68475,Medium,Medium
10558,Low,Short
66936,High,Long
53344,Low,Long
21673,Low,Short
88205,High,Short
63659,High,Long
19320,Medium,Short
91567,Medium,Short
48011,Medium,Long
41689,High,Medium
39557,High,Short
18797,Low,Short
20011,Medium,Short
10133,Medium,Long
15520,High,Short
36870,Medium,Long
52886,Medium,Medium
95010,Low,Short
19549,Low,Medium
61071,High,Medium
29399,High,Short
48620,Medium,Medium
91945,Low,Medium
62120,High,Long
36622,Medium,Long
52886,Medium,Short
24662,Medium,Long
54375,Medium,Long
76970,High,Long
22511,Low,Short
86754,Low,Short
10794,High,Long
47122,High,Long
15520,Medium,Medium
87702,Low,Short
22773,Medium,Short
35769,High,Medium
97080,High,Medium
17031,High,Long
84771,Medium,Short
18124,Low,Short
93370,Medium,Medium
46788,High,Medium
54320,Low,Medium
14182,Low,Short
32498,Low,Long
87807,Medium,Medium
83490,Medium,Medium
54979,High,Short
87563,High,Medium
85281,High,Short
48200,High,Long
99646,Low,Long
21258,Medium,Long
44921,Medium,Short
35046,Medium,Medium
82752,High,Long
79511,High,Short
58360,High,Medium
87508,Low,Short
10134,Medium,Short
19945,Low,Long
75988,Medium,Medium
63531,Medium,Medium
74576,Medium,Long
68008,High,Short
19320,Low,Long
93410,Medium,Long
82531,Medium,Short
49234,Medium,Long
98179,Medium,Long
60272,Low,Medium
58587,Low,Medium
45654,Medium,Long
13571,High,Medium
91165,High,Medium
74073,High,Medium
95823,Medium,Short
65361,Low,Medium
95201,High,Medium
12014,High,Medium
90817,Low,Long
92805,Medium,Long
37198,Low,Long
93410,Medium,Short
73310,High,Medium
42214,Low,Short
10133,High,Long
47051,High,Short
87883,High,Short
47664,Medium,Long
34918,Medium,Medium
22640,Medium,Medium
52931,Medium,Short
54513,High,Short
10452,Medium,Medium
56989,High,Medium
87180,High,Long
20330,High,Short
33906,Low,Short
86046,High,Long
83638,Medium,Short
24364,Low,Long
89858,Low,Medium
52931,Low,Medium
70060,High,Short
73310,Low,Long
15407,High,Short
36136,High,Medium
43044,Medium,Medium
37198,High,Short
10855,High,Short
94319,Medium,Long
61767,High,Long
16063,High,Medium
35197,Low,Long
31780,High,Long
32113,Low,Long
48909,Low,Medium
10855,High,Long
74417,High,Short
96543,High,Medium
32354,High,Short
93410,High,Medium
64414,Low,Short
88854,Low,Long
53178,Medium,Long
52886,High,Long
87135,High,Short
29355,High,Long
85015,Low,Long
22984,High,Short
