Price,Close,High,Low,Open,Volume
Ticker,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS,COALINDIA.NS
Date,,,,,
2023-05-02,206.39805603027344,207.57821477151492,203.77546326414137,203.86287501949445,3773537
2023-05-03,207.09739685058594,208.88950451834853,205.08675313178497,206.35433692730618,4523385
2023-05-04,207.57818603515625,208.05899731022473,204.69333172394025,207.0536755580591,7248108
2023-05-05,207.53451538085938,208.05903930301656,206.3106440147559,207.92791499207598,3043479
2023-05-08,203.556884765625,204.03768269932172,201.0654166583115,203.250910317641,9711437
2023-05-09,206.61660766601562,208.7583891137224,204.12513917551794,205.26159872099402,7318928
2023-05-10,206.7914276123047,207.40336321316616,205.04303255887442,207.1411012873125,3650159
2023-05-11,206.44171142578125,208.19010623214552,206.04832526218806,206.79139839057038,2675726
2023-05-12,205.48013305664062,207.40336496380831,204.78077236152623,206.44174234062658,2348435
2023-05-15,207.79676818847656,209.45775164267621,204.43111541035051,205.0867636145669,4217892
2023-05-16,210.63787841796875,211.29352652261434,207.578187262956,208.71464664551397,6016484
2023-05-17,211.2061309814453,213.04193781176932,210.46305773683113,210.63789457697686,4968232
2023-05-18,209.45773315429688,212.34257432685285,208.88949675728153,211.55580188691863,3512113
2023-05-19,209.71998596191406,211.20613246155722,206.57288279964865,209.80741105219752,3810543
2023-05-22,208.67095947265625,210.85645342050393,207.57821249873243,209.2828951102143,2891415
2023-05-23,209.1954803466797,209.98225282090905,207.0099864302689,208.88950586270366,3213453
2023-05-24,210.68161010742188,211.11870888357834,208.059017450483,208.3212793840161,2422138
2023-05-25,209.8511199951172,211.73063935118498,207.97158729985367,210.9001543645317,3810138
2023-05-26,211.11871337890625,211.94919840344778,209.0206445443596,209.63258017616937,2646742
2023-05-29,215.14002990722656,216.49502548571047,210.50678006251118,211.16242824791817,8069985
2023-05-30,213.56646728515625,216.0579223359134,212.69226972225277,215.27114986497875,4657906
2023-05-31,210.900146484375,216.71355451292942,209.19546403037143,216.71355451292942,15727646
2023-06-01,201.3713836669922,202.72637901436283,200.32233607791346,201.4150828672086,35509867
2023-06-02,201.85220336914062,204.03769718361463,199.40446096828626,199.75413464292384,36400588
2023-06-05,200.80316162109375,202.1144578615526,200.58461224768394,201.50252228384417,19807347
2023-06-06,199.14219665527344,201.63365157038734,198.2242865963597,200.89059168589182,13495524
2023-06-07,201.67738342285156,202.37674416989574,199.40447766895394,199.97270077262917,21853324
2023-06-08,199.4044647216797,202.28930593973027,199.0110651563129,202.28930593973027,8538256
2023-06-09,199.0110626220703,200.58462084591187,198.74881403409316,200.14752208035566,5137982
2023-06-12,200.1912384033203,200.4097877902235,198.13686883075195,199.53559024261077,4261576
2023-06-13,200.14752197265625,201.32769397470128,199.31703698638543,201.06543204766953,5574798
2023-06-14,200.14752197265625,200.97800695892704,198.92365076543567,200.97800695892704,7034468
2023-06-15,199.841552734375,200.7594494329604,199.22960381639118,200.36606322796735,6363240
2023-06-16,199.79783630371094,200.80315806792908,199.31702502287817,199.75412376196343,8518319
2023-06-19,198.57395935058594,200.016393247708,198.09316139074068,199.75413132648623,8210198
2023-06-20,198.66139221191406,199.09849098465756,197.13154650731187,199.09849098465756,5024593
2023-06-21,199.71041870117188,200.01639316567102,197.96202367933768,199.14219565475392,4705567
2023-06-22,198.3991241455078,200.7157555729307,198.0931630175659,199.66670787942834,6566989
2023-06-23,197.48121643066406,198.9236503567776,196.51960715245073,198.530264136636,3881707
2023-06-26,196.08250427246094,197.96202358435272,195.16459421859932,197.56863737246786,6145625
2023-06-27,196.82557678222656,198.26801077061904,195.73282982398814,197.87462453349247,6282912
2023-06-28,198.66139221191406,199.0110658944305,195.95137448522607,196.82557203071306,19512531
2023-06-30,201.9396209716797,202.2455954300421,198.22428162479812,199.22960340651156,7850296
2023-07-03,202.50784301757812,204.34366308039554,200.93429820852901,202.37671872988906,7860203
2023-07-04,202.6389923095703,203.5131898490083,201.32769600041328,203.03237853447826,3662791
2023-07-05,202.28929138183594,203.55688839822386,201.1528453300598,202.63897837708586,4859892
2023-07-06,205.0867462158203,206.3106174241838,201.93962976689176,202.28930344379683,7254947
2023-07-07,204.56222534179688,206.17949613423733,202.55156832230756,202.81383025340546,6393850
2023-07-10,204.34368896484375,205.9609598602442,203.55691646065782,205.43643596465574,6223180
2023-07-11,204.56222534179688,206.13578358918835,204.12512656969903,204.38738850079693,10775084
2023-07-12,204.9119110107422,207.44709204073044,204.25626281424127,205.4364349036216,11313272
2023-07-13,200.97801208496094,205.6986868743483,200.1912396229944,205.43642494062743,20205328
2023-07-14,201.9833526611328,202.90126278403793,200.84689314416443,201.0654425382277,7390502
2023-07-17,201.2402801513672,203.38206155349772,200.80318136157743,201.9396408828701,4963515
2023-07-18,199.5355682373047,203.20719486452242,198.9236326893008,200.80315187371153,6168942
2023-07-19,199.841552734375,200.97799880675598,199.49186573278493,200.36606322796735,5247533
2023-07-20,200.84689331054688,201.67737834083607,199.09849815659217,199.88527064019323,3195629
2023-07-21,200.1912384033203,201.50253472473943,199.79785217473378,200.71576226756636,3903407
2023-07-24,201.89590454101562,202.81381455923045,199.79783593297742,200.1912221295852,3456895
2023-07-25,201.02171325683594,203.11979526869936,200.06010400652775,203.07608272568643,11024983
2023-07-26,201.5025177001953,202.11445326398382,200.10379640651166,201.54623024172196,7574284
2023-07-27,200.2349395751953,202.72639444085945,199.4481538235157,201.93962202837503,7837850
2023-07-28,198.5302734375,201.02172850791524,198.31172404504974,200.71576736200268,8817344
2023-07-31,200.4097900390625,201.02172566141888,198.31172123692744,199.75414187099577,19422170
2023-08-01,210.11338806152344,210.94387307244247,200.14752791290638,201.06543801516267,22409256
2023-08-02,205.04302978515625,212.5611204096881,203.07608537665502,210.81272537990924,25003960
2023-08-03,201.10914611816406,205.5238463492466,200.5846222601202,205.0430350359057,13949266
2023-08-04,204.34368896484375,206.74773236443014,201.50254676533254,203.513203912826,6725977
2023-08-07,203.64431762695312,206.31062283567715,203.07609455227905,205.21787589269155,6744074
2023-08-08,201.2839813232422,205.78609326797516,200.4534963374132,203.6880245312288,13828141
2023-08-09,205.21786499023438,206.04834995494363,201.5899506679382,203.90656872831593,35271302
2023-08-10,205.34898376464844,207.0099669886449,204.95559756447915,205.21785947765702,10749822
2023-08-11,205.34898376464844,205.96093267512848,204.34366199319416,204.5622113643099,6132454
2023-08-14,204.4748077392578,206.4854648323744,201.67737816323307,206.31062798497217,6092872
2023-08-16,203.7317352294922,205.26158089343937,202.90125025118854,204.56222020779583,4576249
2023-08-17,203.07608032226562,204.4747883077588,202.02704599834698,204.29995147697156,5602132
2023-08-18,202.31997680664062,203.65424793999668,201.91969818121538,203.25396931457144,6904019
2023-08-21,204.67723083496094,205.29988808467294,201.919731278209,202.3200099692446,4955953
2023-08-22,205.25540161132812,206.41177278569216,204.32140898692217,204.94406621222296,4280368
2023-08-23,205.38882446289062,205.9225384149442,204.85512408374672,205.70015986374014,2524601
2023-08-24,203.92112731933594,206.94547012522452,203.25399167925087,206.2338696341279,6378317
2023-08-25,202.54237365722656,204.67721580752598,202.3644735379289,203.6987447920251,3890957
2023-08-28,204.09901428222656,204.63272818904557,202.36446444442743,203.2539785738535,3360861
2023-08-29,204.5437774658203,204.9440561214546,203.47636319315927,204.09902038780248,3112560
2023-08-30,203.4763641357422,205.25539245605466,203.2539855957031,204.67721368111668,4086281
2023-08-31,204.6327362060547,204.9885364426011,203.16502969125546,203.69874361898408,10403460
2023-09-01,210.7259063720703,211.03724176801512,205.16644267955147,205.21092110367348,14869577
2023-09-04,220.42164611816406,221.44458213336657,211.83782498472993,212.37153899356403,24785966
2023-09-05,227.13746643066406,227.62668840394286,220.15477422311045,221.8003809949523,19654487
2023-09-06,227.5377197265625,229.3167344336537,224.64679877156274,227.67114141839903,13346191
2023-09-07,243.72689819335938,244.39403386359666,226.64822774986655,227.71564210766422,72255521
2023-09-08,250.93197631835938,253.02234024305562,240.9694058217504,244.26061941772497,41855413
2023-09-11,248.12998962402344,252.79993903617583,246.6178046703325,252.62202534309984,14505153
2023-09-12,240.8359832763672,249.10845494609143,239.2793333382928,249.06399009190326,17547706
2023-09-13,248.7526397705078,250.39824646417864,239.27931900129326,241.50310449387035,17607568
2023-09-14,246.8846435546875,251.02090610369814,246.12857823747015,250.2203216452975,12033796
2023-09-15,248.44129943847656,252.75544863756326,246.8846496245868,247.7296989533115,13288180
2023-09-18,250.17588806152344,251.51015946451824,244.1272018929422,248.44132437930176,8754852
2023-09-20,252.88890075683594,256.1801144747359,248.2634427552018,248.6192430405857,18615797
2023-09-21,249.46424865722656,255.11264166698774,247.8186420872967,253.42257024887743,11071899
2023-09-22,252.04383850097656,254.49000240056182,248.35236022712957,249.06396068504557,8691024
2023-09-25,256.22454833984375,257.06959766801407,250.08690593541124,252.88887016941104,9118957
2023-09-26,255.0681915283203,259.2044270428591,254.53447759029177,256.5803764950981,11256196
2023-09-27,259.337890625,260.9834975556023,253.06682549136391,256.180125629219,12805340
2023-09-28,258.1370544433594,261.650619555456,257.06962645097826,259.3378770025112,12432497
2023-09-29,262.5846252441406,264.63049722147383,259.2044547064239,260.44976926418417,8640829
2023-10-03,259.6492004394531,264.27468533175454,258.04808567063657,264.2301933323972,9348540
2023-10-04,256.1356506347656,259.2934155055786,254.31213005297943,258.6707446443205,6338888
2023-10-05,257.3809509277344,258.4483517288832,252.53308745849486,256.8917018079484,8687014
2023-10-06,256.002197265625,258.84865380149574,255.29059670456797,258.8041889461127,3741467
2023-10-09,256.002197265625,257.0251603976488,251.77700446302325,254.4455472857191,4647845
2023-10-10,269.74517822265625,270.3233570172179,256.0021731234712,256.4024653674548,23283411
2023-10-11,268.4998779296875,271.3018423477212,266.365049189558,270.9015500826506,12321154
2023-10-12,273.2587890625,274.9488607120726,268.54434723958406,269.1225260741983,15375295
2023-10-13,273.9258728027344,276.50545821506756,270.81257351127334,271.30179539874814,9516879
2023-10-16,277.5284118652344,278.99610476805054,272.6805489406718,273.83693361093395,10535107
2023-10-17,282.331787109375,283.17683641417847,277.6173729505179,278.4179302601215,7760527
2023-10-18,281.9315185546875,284.4221472974011,280.4193336528716,282.28731878281553,9662837
2023-10-19,280.0190734863281,280.81965802353784,274.7264800157178,280.46383060885773,8977527
2023-10-20,277.8842468261719,281.70917439630813,275.39361777952274,277.9732036805138,6009115
2023-10-23,272.2802734375,278.28449365656655,271.3018024911555,278.0176231371183,8086150
2023-10-25,276.0162353515625,278.1510910704849,271.3018211215481,272.2802921350845,7253336
2023-10-26,271.52423095703125,274.99333118137207,269.4338669930627,274.99333118137207,8329092
2023-10-27,279.262939453125,282.10936805018315,272.19129208475437,272.19129208475437,10503070
2023-10-30,279.7966613769531,280.9085540499593,277.48394633375403,280.19695359756224,6229982
2023-10-31,279.52984619140625,281.7980966148224,276.4165463929339,281.75363176174363,7446586
2023-11-01,272.76953125,280.9085809671408,272.057930729416,278.59586570233296,9593653
2023-11-02,274.7264709472656,278.2400358117781,273.34770762544315,274.8154277979993,7071960
2023-11-03,277.5284118652344,279.9301109031643,276.01622696789815,276.28309749756664,4658440
2023-11-06,281.57568359375,284.24422595153305,278.4179193287,278.5958330108789,10340818
2023-11-07,279.52984619140625,283.57712507109227,278.9961322253613,281.53125320470986,6826885
2023-11-08,282.331787109375,282.99892272501427,279.7966663407822,281.0864727226786,6424833
2023-11-09,287.8022766113281,288.64732586587206,280.8196126329206,283.2657764114449,15503280
2023-11-10,287.6688537597656,290.115017528379,286.02324724989893,288.60285984981664,8445203
2023-11-13,310.75177001953125,311.32994878096105,293.8065093769629,296.2082084116001,42178783
2023-11-15,311.86370849609375,319.33562293504764,310.08467995606566,319.33562293504764,35092206
2023-11-16,307.5939636230469,315.33274711870104,306.74894151910405,313.99847597433416,17617280
2023-11-17,307.104736328125,310.04012193578814,304.4806589320205,309.55090004978274,13542916
2023-11-20,309.3285827636719,313.4648186281125,305.9484394465812,309.55096132784416,19032608
2023-11-21,310.91009521484375,314.910423058358,305.9329233229002,311.6543330119643,15148068
2023-11-22,309.0029296875,314.3522203042472,307.0027658307125,312.3985606616998,7599447
2023-11-23,311.1426696777344,312.6311452557219,307.0027724504706,309.3285510296409,6186567
2023-11-24,309.60760498046875,313.9335754574695,308.95640407196214,311.97991595025127,7054445
2023-11-28,318.1200256347656,318.63168559836316,310.0728085266788,311.46827576287603,10791886
2023-11-29,318.4921569824219,320.95747685107807,314.5383329922274,319.0968537968689,14149513
2023-11-30,318.3060607910156,320.9574541337695,314.4917781216901,320.9574541337695,11959336
