Price,Close,High,Low,Open,Volume
Ticker,ESCORTS.NS,ESCORTS.NS,ESCORTS.NS,ESCORTS.NS,ESCORTS.NS
Date,,,,,
2023-05-02,1964.4173583984375,1981.332048844903,1942.8537965827977,1948.640344013382,266621
2023-05-03,1962.88427734375,1973.9134082372677,1949.8768313391718,1967.4343779498352,200003
2023-05-04,2028.1192626953125,2035.6862212936671,1959.5705967407973,1962.8842503569115,730568
2023-05-05,2044.984130859375,2060.4150845470103,2012.9355242694028,2036.6257982342108,392429
2023-05-08,2068.2294921875,2078.1705741881033,2029.7513588343088,2051.512825644423,228065
2023-05-09,2057.101318359375,2082.127051652387,2049.6826370369527,2074.213791575136,161246
2023-05-10,2025.3494873046875,2071.9881668295347,2011.9463548817691,2060.0195059763564,411661
2023-05-11,2047.25927734375,2051.512702991958,2005.0718055792515,2028.6138029286863,468823
2023-05-12,2040.2364501953125,2061.799891495017,2033.3616120584134,2042.6103317073864,125151
2023-05-15,2057.84326171875,2066.1523299997316,2016.4965487516924,2032.7187566524333,134768
2023-05-16,2045.9736328125,2075.203290328031,2039.7913973605505,2063.4324106249483,110084
2023-05-17,2093.35400390625,2112.8403577837344,2039.6427049391668,2040.335066870073,758471
2023-05-18,2061.45361328125,2113.137089575167,2052.551196311963,2101.9595621928033,189723
2023-05-19,2035.83447265625,2071.642168417454,2015.457972445541,2071.295866684729,115496
2023-05-22,2047.80322265625,2053.589890369484,2010.0668415720659,2037.664358735358,117570
2023-05-23,2038.4063720703125,2075.054706713897,2033.4110782644088,2053.4910243445197,116692
2023-05-24,2028.4158935546875,2040.5825800797504,2018.227642935156,2032.9661150172476,123714
2023-05-25,2025.3990478515625,2042.3136184136822,2011.0068774310923,2027.773050206037,187248
2023-05-26,2052.205078125,2056.260720593306,2017.8813601505583,2032.2736505032808,143984
2023-05-29,2069.16943359375,2077.2309714808844,2054.282563332759,2076.1923076964326,125883
2023-05-30,2081.978759765625,2093.502348073472,2057.4971115763406,2077.1317431067796,145898
2023-05-31,2152.70361328125,2167.244180892684,2075.252529216272,2093.0078588486563,535402
2023-06-01,2172.734130859375,2203.8430884546956,2151.9123154996364,2176.1961823897122,328990
2023-06-02,2159.7265625,2189.99488103036,2150.5768548895526,2172.1900445992187,206876
2023-06-05,2171.84375,2190.9840458239178,2153.3960576788577,2161.259812163127,128269
2023-06-06,2173.47607421875,2186.0383276217563,2140.537077363566,2173.179278635746,108091
2023-06-07,2205.673095703125,2214.723790836907,2171.9427260965335,2179.0646122748344,331983
2023-06-08,2146.17529296875,2207.799862519693,2132.1788088965286,2205.7720410497586,243210
2023-06-09,2112.543701171875,2160.270552280156,2107.202347075307,2156.2644159609604,150576
2023-06-12,2134.948486328125,2139.0038877511174,2088.9526561233492,2112.9397288645496,131605
2023-06-13,2163.139404296875,2167.4420949809105,2133.6129532010514,2146.5215082402697,190904
2023-06-14,2161.111328125,2172.1898436921197,2142.5151190515166,2164.227077614852,170641
2023-06-15,2128.964111328125,2171.201095734589,2122.880646733226,2171.201095734589,97859
2023-06-16,2155.769775390625,2166.254941568231,2111.851278652134,2130.6452712958767,187048
2023-06-19,2169.123291015625,2188.4613676000854,2156.4127625883625,2161.1112605094545,327806
2023-06-20,2139.349853515625,2169.568662933887,2113.137180204062,2169.123348871511,431215
2023-06-21,2152.505859375,2190.5884253723975,2137.8167730357286,2145.482744113127,446684
2023-06-22,2138.60791015625,2164.870088716658,2116.796940114775,2159.330710406801,276907
2023-06-23,2132.52490234375,2136.630051528405,2094.2445492050024,2129.1618628975766,188859
2023-06-26,2176.690673828125,2187.9669731912804,2127.6778694025475,2143.7021732583357,381288
2023-06-27,2176.492919921875,2215.465630940966,2171.200830412064,2198.8972419161814,394445
2023-06-28,2171.447998046875,2190.9343524638157,2161.8037124388775,2179.262245685687,231883
2023-06-30,2231.13623046875,2242.5479311291374,2168.223125473563,2178.1463434391167,657339
2023-07-03,2224.48779296875,2261.5014455996147,2219.4765192850496,2231.7317907650436,425892
2023-07-04,2194.469970703125,2231.731702314139,2177.005252585337,2231.58295095229,247478
2023-07-05,2244.58203125,2251.4291963713135,2185.1917225897582,2193.0309671496234,318159
2023-07-06,2225.82763671875,2247.658718032961,2206.2292796298557,2242.647444096255,205775
