Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2023-05-02,3119.28125,3134.3962073191838,3110.1736709411375,3134.3962073191838,2321159
2023-05-03,3081.010009765625,3115.987451083965,3074.469924164003,3115.987451083965,2468285
2023-05-04,3120.540771484375,3124.1741518273056,3079.1687279558414,3081.2517713998423,1953253
2023-05-05,3130.229736328125,3143.1161723839746,3110.222016841445,3119.8625385562264,1710027
2023-05-08,3149.51123046875,3153.6290617390882,3130.811384684397,3144.0852875873734,928235
2023-05-09,3181.145751953125,3195.437048638211,3145.054172189094,3151.4490165115353,1107375
2023-05-10,3184.585205078125,3203.6725155657473,3164.4805007992836,3187.6856422837773,1559987
2023-05-11,3180.07958984375,3206.7728703410717,3170.245335393879,3206.094686680424,1719623
2023-05-12,3172.47412109375,3187.685826817859,3158.618782804322,3177.173151280346,1027479
2023-05-15,3153.82275390625,3189.623615648311,3147.3311614149065,3181.872403945642,1150390
2023-05-16,3156.825927734375,3182.841024333361,3149.36543443903,3154.9366173583353,986306
2023-05-17,3108.9140625,3177.9967837989293,3098.789089568575,3154.694656412957,1588815
2023-05-18,3100.33935546875,3128.5342453352937,3095.6400888835583,3125.627541026483,1369364
2023-05-19,3122.624267578125,3133.9118753387106,3103.4399707301586,3110.1737887887653,1152449
2023-05-22,3196.114990234375,3205.561778852938,3117.004285806916,3129.551511585523,1333243
2023-05-23,3194.5166015625,3224.455562015604,3187.782783734501,3203.1882223078055,1687418
2023-05-24,3200.620849609375,3214.0399933924077,3174.121299089569,3174.121299089569,1016555
2023-05-25,3191.07666015625,3203.187927273892,3165.497758623065,3191.5611108409557,1374917
2023-05-26,3225.3759765625,3234.822765800393,3188.6547058365372,3191.076959487279,1791115
2023-05-29,3217.09228515625,3267.1359544899274,3209.0018627730246,3256.2843046790836,1210372
2023-05-30,3213.07080078125,3223.4864909136236,3198.682756806377,3211.908166401694,1344224
2023-05-31,3187.201416015625,3224.2134052135966,3163.608570376434,3206.0949948611346,5815424
2023-06-01,3220.62841796875,3236.1308411599352,3194.9525295583494,3210.939403474259,1177314
2023-06-02,3202.80078125,3232.1583064369256,3194.904092371643,3222.8085019074965,2030661
2023-06-05,3186.619873046875,3223.5351127809613,3182.889744406454,3211.908295421968,1861468
2023-06-06,3131.780517578125,3186.571947368878,3120.4444167882316,3177.997074058909,2022849
2023-06-07,3173.055419921875,3176.8827700760303,3140.2097537719947,3151.8365717433812,1567196
2023-06-08,3135.80078125,3168.3074694155675,3132.4581188441985,3159.5873571144234,1759366
2023-06-09,3109.495361328125,3148.929601645243,3105.668248044996,3144.085094565789,1775689
2023-06-12,3145.92626953125,3153.1930309748204,3111.142799373982,3115.01840547722,2324605
2023-06-13,3142.825927734375,3163.4635781726824,3138.2721377339412,3158.6190703960015,1371928
2023-06-14,3149.947265625,3154.5980401298307,3125.53099515991,3142.8257449880825,1658544
2023-06-15,3139.453857421875,3169.8595035328567,3133.3043339647556,3167.760968227164,2273810
2023-06-16,3099.04296875,3122.9575975791877,3080.5946361190336,3120.615035384205,4156189
2023-06-19,3133.6943359375,3138.086818164223,3099.1402377435757,3113.7818451659864,1468186
